PartString: @Ugy3L+2}TYg4Al)9RG/{JsG6vKsF0/BsDG$Wl/jux<wEsB00 | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:22
PartString: @Ugy3L+2}TYgjExD(i7Hg1Zldy`>Y+N72Neo63Uv#W4gm | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Unseen Truck  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:41
PartString: @Ugy3L+2}TYgOr!`JRG/*FsG6vdsD7w_sC}qUl/jux-9n8+00 | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:41
PartString: @Ugy3L+2}TYg%-sbVRG}7C6ZH?(4;2!%5A~@ss5z)ysB#D | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:41
PartString: @Ugy3L+2}TYgOw9=zRG/{JsG6vKsD7xBsDG$Wl/jux)k2*^00 | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:41

PartString: @Ugy3L+2}TYgjHCz}RG/))sG6vdsC}q@s85wa%/X>dl/uj | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:45
PartString: @Ugy3L+2}TYgOos}}i7Hg0ZlXq_?x8xh26YEj3e^fV4gm | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Tossed Unseen Truck  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:46
PartString: @Ugy3L+2}TYgTmlT`L=`Gghq{T%hnj~PgUW*ng{p-rhX4 | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Maintained Whispering Truck  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:47
PartString: @Ugy3L+2}TYgOr8Q7RG/{JsG6vdsD7wVl/jux-9n8+00 | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:47
PartString: @Ugy3L+2}TYgjNb$rRG}7C6SWW34;2#i5A~@ss5z)ysB;J | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:47
PartString: @Ugy3L+2}TYgOtlCaRG}JG6SWW34;2#i5A~@ss5z)xsB;J | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:48
PartString: @Ugy3L+2}TYg%$yC%i7M2gZldO)@}cgb!l34$a-qf{00 | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Cooking Ambushing Truck  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:49
PartString: @Ugy3L+2}TYgjMogxi7Hg07IhPq4>b?9sX3@zs9y* | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Ambushing Truck  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:50
PartString: @Ugy3L+2}TYg3`fwQ3YDmusF0/Cs85wa%/X>djY9w | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:50
console.log("[Legendary]", b85Decode("@Ugy3L+2}TYg47~{&RG/))sG6vKsDG$Wl/jux-9nW^00")) | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity:  | BulletType: impact | Timestamp: 2025-09-28 20:31:50
console.log("[Legendary]", b85Decode("")) | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Ambushing Truck  | Rarity:  | BulletType: impact | Timestamp: 2025-09-28 20:31:51
console.log("[Legendary]", b85Decode("@Ugy3L+2}TYg%*O{BRG}JG6V(qD67{Jvs5z)ysB#D")) | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity:  | BulletType: impact | Timestamp: 2025-09-28 20:31:51
console.log("[Legendary]", b85Decode("@Ugy3L+2}TYgjEoK%RG/`86SWWZ5A~@ss5z)xsB#D")) | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity:  | BulletType: impact | Timestamp: 2025-09-28 20:31:52
console.log("[Legendary]", b85Decode("@Ugy3L+2}TYgjLrfYRG/`86ZH=j67{Jvs5z)ysBs7")) | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName: Boomslang  | Rarity:  | BulletType: impact | Timestamp: 2025-09-28 20:31:53
 | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName:   | Rarity:  | BulletType: impact | Timestamp: 2025-09-28 20:31:54

PartString:  | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName:   | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:42
PartString:  | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName:  Truck  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:43
PartString:  | Type: weapon | WeaponType: sniper | ManufacturerWeaponType: Jakobs Sniper | ItemName:  Truck  | Rarity: Legendary | BulletType: impact | Timestamp: 2025-09-28 20:31:43



